block_number,experimental_condition,condition_item,task_type,task_id,MCQ_response_unprocessed,reaction_time_MCQ,score_TEST,reaction_time_TEST,BI_score,BI_score_TaskType,BI_score_TaskID,BI_score_ParticipantID,BI_score_TaskType_ParticipantID,affinity_score,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence,participant_identification
1,DFU,DFU5,RAT,R4,incorrect,63.3111774,0.153346592,20.0079177,-0.011773337,-0.809177486,-1.156853402,0.055317987,0.360162305,1,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
1,DFU,DFU3,Insight,I12,correct,78.5888714,1,44.6204915,0.913832434,0.975026168,0.44104852,1.119340879,0.983011734,7,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
2,F,F7,RAT,R11,incorrect,48.6462429,0.139045506,20.0006943,-0.036552385,-0.843448562,0.074090301,0.027014685,0.184088756,7,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
2,F,F9,RAT,R2,correct,67.7435219,0.185909384,20.0139636,0.04488003,-0.729587862,-0.784061614,0.120026091,0.762435727,7,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
2,F,F10,RAT,R12,correct,59.2928782,0.062564374,20.0010923,-0.16994249,-1.032567095,-0.88144217,-0.125336191,-0.762655721,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
2,F,F5,Insight,I10,correct,28.749001,0,83.9008473,-1.709408447,-1.475654799,-0.330583456,-1.865857771,-1.626441421,1,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
3,F,F2,Insight,I3,correct,48.8698696,1,25.2991682,1.346327928,1.366900787,0.323306619,1.607939772,1.414590677,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
3,F,F8,Insight,I6,correct,56.4440503,0.75,29.2997521,0.820783614,0.872261609,0.187861445,1.008804136,0.892217234,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
3,F,F1,Insight,I9,incorrect,52.0726562,0.75,42.8062631,0.518448984,0.598322874,1.208498892,0.667250598,0.590523315,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
3,F,F6,RAT,R9,correct,57.2641592,0.071302097,18.6806903,-0.125147762,-0.813409279,-1.204246587,-0.074541331,-0.481401691,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
4,DFU,DFU1,RAT,R10,correct,42.7907771,0.123601306,16.767611,0.00888382,-0.397892494,0.633947489,0.078010201,0.416758207,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
4,DFU,DFU2,RAT,R6,correct,41.6575046,0,0.0141352,0.168342075,1.803222552,1.908276264,0.255474917,1.08309603,7,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
4,DFU,DFU8,RAT,R7,incorrect,39.956968,0.075093181,20.0007516,-0.148084935,-1.001545297,-0.891277924,-0.100371765,-0.607528035,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
4,DFU,DFU9,Insight,I11,correct,42.8217708,0.5,42.6023512,0.087019626,0.188959179,0.064132989,0.174438528,0.162065378,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
5,DFU,DFU10,Insight,I8,incorrect,67.8726953,0.75,112.9700795,-1.052123275,-0.824737981,-0.090670357,-1.107056602,-0.976720565,1,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
5,DFU,DFU11,Insight,I2,correct,28.3310791,0,45.7392858,-0.855186244,-0.701662917,-0.343274054,-0.900825696,-0.774029497,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
5,DFU,DFU6,RAT,R8,correct,33.7401965,0.073197451,16.9025077,-0.082038829,-0.542672492,-0.538695207,-0.025799226,-0.224830762,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
5,DFU,DFU12,RAT,R3,correct,38.1863746,0,20.0161083,-0.279389329,-1.189470978,-1.154435219,-0.250336293,-1.539053297,1,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
6,F,F3,Insight,I7,correct,48.2978137,1,29.1038468,1.261162625,1.289734387,1.217156863,1.51172681,1.329605858,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
6,F,F11,RAT,R5,correct,30.8958585,0.159770163,15.7120602,0.09558924,-0.150552781,-0.243074478,0.17674686,1.002837444,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
6,F,F12,Insight,I5,correct,40.7521444,0,40.1018274,-0.728995335,-0.58732412,-0.240435087,-0.758265278,-0.648106014,4,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
6,F,F4,RAT,R1,correct,39.1099381,0.093168117,18.5522898,-0.084139803,-0.740145884,-0.583059913,-0.027739965,-0.193908962,7,18,Vrouw,ASO/doorstroomfinaliteit,3.5,Gemiddeld,dbffb7ac-291f-4a6a-844e-ce081b995caf
1,F,F3,Insight,I8,incorrect,54.5032333,0,97.7507251,-2.019429124,-1.756557691,-0.743103431,-2.197616329,-1.88519918,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
1,F,F8,RAT,R8,incorrect,64.4737288,0.118652533,18.7316021,-0.043709405,-0.70397789,-0.609828623,0.033968129,0.146950004,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
1,F,F4,RAT,R1,correct,59.2579259,0.08579654,20.0018859,-0.129443934,-0.97525664,-0.805166255,-0.071066118,-0.491037654,7,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
1,F,F7,RAT,R2,incorrect,33.6953708,0.093227025,11.1286595,0.082136159,0.370722674,0.446797419,0.166353738,0.754534874,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
2,F,F11,Insight,I7,correct,44.5406545,0.25,53.606379,-0.59529231,-0.447723683,-0.729467453,-0.540390703,-0.437272993,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
2,F,F12,Insight,I9,correct,52.0895321,0.5,63.6113164,-0.383252654,-0.237144153,-0.044512747,-0.230699793,-0.183585929,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
2,F,F9,Insight,I3,incorrect,33.2000001,1,14.8751029,1.579663978,1.578321432,0.635845412,2.099466264,1.839953564,7,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
2,F,F10,RAT,R6,correct,29.9125992,0.118036051,15.8879914,0.018867877,-0.280041021,-0.205291325,0.103355308,0.502776563,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
3,DFU,DFU2,Insight,I6,correct,50.7727161,0.75,16.1379891,1.115401281,1.139208173,0.616386917,1.509369363,1.337759504,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
3,DFU,DFU7,Insight,I2,incorrect,26.613187,0.25,61.8199783,-0.779148489,-0.614311708,-0.238302263,-0.744790641,-0.618420388,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
3,DFU,DFU10,RAT,R5,incorrect,26.8316179,0.051518332,19.8020348,-0.184750738,-1.030089601,-1.112921583,-0.142693441,-0.961019512,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
3,DFU,DFU11,Insight,I10,correct,51.6274187,0,120.0086034,-2.517657527,-2.207991449,-1.179936292,-2.751515878,-2.376087098,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
4,DFU,DFU6,Insight,I5,incorrect,28.3835348,0,39.5737074,-0.717173706,-0.576612802,-0.22845819,-0.749849232,-0.602130115,3,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
4,DFU,DFU8,RAT,R9,correct,29.6137234,0.110475951,16.2176014,-0.001694859,-0.348045574,-0.750708347,0.078258399,0.351189917,3,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
4,DFU,DFU12,RAT,R10,incorrect,28.8431514,0,0.022678,0.16815085,1.801944379,1.301376815,0.234399898,0.831125034,3,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
4,DFU,DFU3,RAT,R12,correct,37.253263,0,20.0063566,-0.279171044,-1.188011929,-1.094873388,-0.26290494,-1.732111863,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
5,DFU,DFU5,RAT,R3,correct,26.4230111,0.05246641,14.7054707,-0.069013978,-0.265198491,-0.186003429,-0.013743991,-0.293593061,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
5,DFU,DFU9,Insight,I1,correct,26.2050909,0.75,23.1488087,0.958468557,0.997014896,0.618792229,1.334901259,1.183138897,6,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
5,DFU,DFU1,Insight,I11,correct,25.2038074,0.5,39.671089,0.15263406,0.248410969,0.131579558,0.36506594,0.344405474,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
5,DFU,DFU4,RAT,R4,correct,31.5729511,0.109258748,9.3035642,0.15094868,0.683423201,0.366184519,0.247597964,1.220430311,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
6,F,F6,Insight,I12,correct,23.8361971,0,32.2232793,-0.552639063,-0.427531595,-0.641607191,-0.566929784,-0.44001959,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
6,F,F2,Insight,I4,correct,33.790561,1,14.9882636,1.577130948,1.576026309,1.164936958,2.096650197,1.837457853,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
6,F,F5,RAT,R11,correct,19.0752809,0.139537182,16.9464812,0.032671697,-0.385262048,0.520167464,0.125062293,0.677884744,7,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
6,F,F1,RAT,R7,correct,29.2605967,0,14.3541996,-0.152651116,-0.342336675,-0.267538927,-0.122247903,-1.007129358,4,18,Vrouw,ASO/doorstroomfinaliteit,6.5,Gemiddeld,f85f7239-9c8b-4b40-9584-553526fad115
1,F,F10,Insight,I11,correct,55.0011231,0.25,19.5836035,0.16628581,0.242325441,0.150755778,0.193771721,0.218160696,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
1,F,F6,RAT,R12,correct,39.8639592,0.069785572,16.0164064,-0.068154249,-0.418528149,-0.167820645,-0.112833744,-1.032370092,7,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
1,F,F8,Insight,I2,incorrect,58.4066792,0,10.8184881,-0.07350647,0.006599871,0.419333347,-0.135979369,-0.036896449,3,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
1,F,F12,Insight,I9,correct,53.9894233,1,57.4617685,0.626388643,0.714579694,1.447682956,0.892941943,0.738230605,2,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
2,F,F2,RAT,R10,correct,56.9842438,0.07780071,16.2543938,-0.059503243,-0.434322631,-0.038569536,-0.101184162,-0.923544467,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
2,F,F3,Insight,I12,correct,66.9874141,0,11.1301756,-0.080483396,0.000278233,-0.038103312,-0.14378535,-0.043492001,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
2,F,F11,Insight,I6,incorrect,64.8488875,0.25,28.0741862,-0.023770466,0.070119644,-0.780675102,-0.018868584,0.03849331,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
2,F,F4,RAT,R5,correct,61.8759674,0.1597844,16.1355296,0.086134977,-0.213877043,-0.310248024,0.0819164,0.53739543,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
3,DFU,DFU7,Insight,I4,correct,44.3190104,0,33.1903983,-0.574287405,-0.447146679,-0.678567878,-0.69626716,-0.510303609,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
3,DFU,DFU5,Insight,I1,correct,64.8309063,0.75,80.7164821,-0.330147078,-0.170571286,-0.953960643,-0.238721863,-0.194391225,6,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
3,DFU,DFU3,Insight,I3,correct,50.9826826,1,12.4008537,1.635048467,1.628504095,0.710029411,2.021458917,1.69175489,3,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
3,DFU,DFU1,Insight,I8,correct,56.4477909,0.25,117.4184284,-2.023684317,-1.74195815,-1.055552383,-2.256428436,-1.852100901,6,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
4,F,F5,RAT,R4,correct,64.0671992,0.138299455,14.2026475,0.091932098,0.022210496,-0.314730911,0.083120116,0.422089111,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
4,F,F1,Insight,I10,correct,51.3394356,0,80.3711112,-1.630397557,-1.404064775,-0.247554442,-1.877872895,-1.508684483,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
4,F,F9,RAT,R7,correct,34.9285748,0.086933358,11.1162502,0.071437934,0.357021603,0.411730519,0.047561853,-0.062654958,2,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
4,F,F7,RAT,R6,incorrect,42.8899413,0.121597889,9.2229242,0.17427291,0.725990524,0.806386878,0.171139102,0.806137351,6,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
5,DFU,DFU6,RAT,R9,correct,-0.4980904,0.087394491,11.8575955,0.055647597,0.247241488,-0.122623668,0.030008553,-0.155519463,3,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
5,DFU,DFU11,RAT,R2,incorrect,55.726149,0.086512511,14.2864082,-0.000257977,-0.11833749,-0.110745463,-0.032757017,-0.501930334,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
5,DFU,DFU2,Insight,I5,correct,51.8273398,1,11.5743993,1.653548122,1.645266224,2.91661798,2.04215685,1.709243313,3,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
5,DFU,DFU4,RAT,R11,correct,43.3064632,0.139537182,9.1698748,0.206746069,0.778273146,1.638189824,0.211881521,1.129497055,2,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
6,DFU,DFU8,Insight,I7,correct,24.8103866,0.25,41.7082489,-0.32896026,-0.206406091,-0.418185345,-0.360323507,-0.250014146,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
6,DFU,DFU12,RAT,R3,correct,33.1567536,0.114983263,20.0016882,-0.078538588,-0.903078387,-0.955167506,-0.113339776,-0.778779751,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
6,DFU,DFU9,RAT,R1,correct,38.9112832,0,0.0181723,0.168251707,1.802618521,1.487444258,0.134506478,-0.082776694,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
6,DFU,DFU10,RAT,R8,correct,58.0180866,0.086255555,5.8525382,0.188080697,1.142902241,1.084029629,0.177898411,0.642456812,4,18,Vrouw,TSO/dubbele finaliteit,5.5,Gemiddeld,c96b2b8f-2fbf-4ae3-9814-7794281c207a
1,DFU,DFU4,RAT,R8,correct,60.9482824,0.142020894,19.2393242,-0.014320599,-0.722177365,-0.584987903,0.014601294,-0.686532052,6,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
1,DFU,DFU12,Insight,I3,correct,42.1872995,0.25,68.3748551,-0.925875223,-0.747257563,-2.508977739,-1.113469003,-0.835542388,6,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
1,DFU,DFU8,RAT,R3,correct,75.0626542,1,9.0149499,1.710839763,2.92849037,2.377870444,1.718182299,2.564383098,2,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
1,DFU,DFU3,RAT,R10,correct,65.0931599,0.158061484,20.0053302,-0.003492763,-0.797135278,0.679098959,0.020967157,-0.76821266,4,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F7,RAT,R2,incorrect,55.6042983,0.110195349,15.3485816,0.017268231,-0.218716545,-0.219710449,0.065096175,-0.171593228,7,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F10,Insight,I8,correct,34.8578956,0,102.2914944,-2.121071348,-1.848653466,-0.907977911,-2.433557724,-2.106960266,6,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F12,Insight,I4,correct,38.1135012,1,28.3738906,1.277502229,1.304539341,0.887349036,1.202759282,1.387392696,1,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F4,RAT,R12,correct,53.289162,0.065986154,16.3069274,-0.081283467,-0.47138792,-0.230967936,-0.034173296,-0.403327936,4,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
3,F,F1,Insight,I5,correct,39.383622,0,46.0247896,-0.861577064,-0.707453498,-0.374758164,-0.935482226,-0.656923526,1,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
3,F,F2,RAT,R11,correct,43.3819663,0.0652676,20.0027606,-0.165265475,-1.026134415,-0.973723408,-0.133771939,-0.954846589,4,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
3,F,F8,Insight,I9,correct,58.2701185,0.25,61.8654821,-0.780167062,-0.615234615,-0.652788022,-0.940159898,-0.667790784,4,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
3,F,F9,RAT,R9,correct,33.7898847,0.063793271,9.1502091,0.075090772,0.59397893,0.249867973,0.152712709,0.657424929,7,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
4,F,F3,RAT,R5,correct,53.957702,0,20.0058565,-0.279159849,-1.187937104,-1.250342537,-0.242739932,-1.086847395,7,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
4,F,F6,Insight,I10,incorrect,66.7794466,0.5,85.6183127,-0.875865223,-0.683489529,1.392579151,-1.155494659,-0.882559993,4,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
4,F,F5,Insight,I1,correct,43.8155318,1,51.2003713,0.766546024,0.841573203,0.408740779,0.595014585,0.799136537,4,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
4,F,F11,RAT,R6,incorrect,66.437094,0,20.0054638,-0.279151059,-1.187878348,-1.101184642,-0.242729477,-1.086788947,1,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
5,DFU,DFU6,RAT,R1,incorrect,27.6521085,0.074179423,7.7557381,0.124418307,0.828293809,0.767883515,0.207167025,0.885903658,4,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
5,DFU,DFU7,Insight,I12,correct,41.2709832,1,16.4907018,1.543499827,1.545553893,1.245882054,1.519143795,1.693631712,1,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
5,DFU,DFU2,Insight,I7,incorrect,65.7070931,0,57.0517158,-1.108407771,-0.931101353,-1.254799429,-1.229069136,-0.94109599,6,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
5,DFU,DFU10,Insight,I2,correct,52.4492568,0,69.7211622,-1.392005244,-1.188062763,-0.866995092,-1.5663874,-1.267597476,6,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
6,DFU,DFU1,Insight,I6,correct,55.3844613,1,10.2402231,1.683412805,1.672325954,1.312628013,1.685559955,1.854711409,3,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
6,DFU,DFU11,RAT,R7,correct,45.407122,0,20.0009696,-0.279050459,-1.187205927,-1.077082074,-0.242609821,-1.086120051,7,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
6,DFU,DFU9,Insight,I11,correct,21.2717344,1,19.2082621,1.482668974,1.4904364,1.488466152,1.446789984,1.62359807,5,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
6,DFU,DFU5,RAT,R4,correct,33.9969074,1,11.889442,1.646496092,2.498409104,1.60061191,1.64165025,2.136557173,2,22,Vrouw,ASO/doorstroomfinaliteit,1.5,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
1,DFU,DFU9,RAT,R9,correct,53.205836,0.10047161,11.5306614,0.085771979,0.328483573,-0.047530707,-0.047281353,0.463848212,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
1,DFU,DFU6,Insight,I6,incorrect,13.1260084,1,26.5234424,1.318923331,1.342070087,0.782473031,0.939151685,0.875129198,2,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
1,DFU,DFU3,RAT,R5,correct,40.3143977,0.066009172,19.3642953,-0.149680554,-0.928774148,-1.013899271,-0.38683443,-1.140318104,6,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
1,DFU,DFU4,RAT,R3,correct,43.0331263,0.110060855,15.5341395,0.012880082,-0.246812167,-0.224481861,-0.174712875,-0.279994786,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
2,DFU,DFU8,Insight,I8,correct,50.7586696,0,77.6772342,-1.570096839,-1.349427626,-0.014238751,-2.591536433,-2.534562561,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
2,DFU,DFU10,RAT,R8,correct,43.1483084,0.097671719,18.0653826,-0.065386525,-0.656162106,-0.602268628,-0.28655533,-0.801842533,2,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
2,DFU,DFU1,Insight,I10,correct,30.0708315,0.5,84.165275,-0.843339902,-0.654019053,1.426758558,-1.976991102,-1.811503522,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
2,DFU,DFU11,Insight,I7,correct,34.8930122,1,22.1705932,1.416359083,1.430354471,1.398546525,1.095373834,1.008407804,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
3,F,F1,Insight,I5,correct,31.8497191,0.25,24.9831391,0.045420651,0.132812188,0.729956426,-0.276665475,-0.460280381,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
3,F,F6,RAT,R7,incorrect,40.158359,0.066282423,12.2030681,0.011095491,0.14336353,0.204831718,-0.129357528,0.238910829,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,c2c11184-bc3d-431b-8d4c-0750017ee4d8
